Value,Label
4,Afghanistan
5,Albania
6,Algeria
7,Andorra
9,Argentina
10,Armenia
11,Asia/Pacific Region
12,Australia
13,Austria
14,Azerbaijan
15,Bangladesh
16,Barbados
18,Belarus
19,Belgium
20,Belize
21,Bolivia
22,Bosnia and Herzegovina
23,Brazil
24,British Indian Ocean Territory
25,Bulgaria
26,Cambodia
27,Cameroon
28,Canada
29,Chennai
30,Chile
31,China
32,CN
33,Colombia
34,Costa Rica
35,Cote D'Ivoire
36,Croatia
37,Cuba
38,Cyprus
39,Czech Republic
41,Denmark
42,Dominican Republic
43,Ecuador
44,Egypt
45,El Salvador
47,Estonia
48,Ethiopia
49,Europe
50,Finland
51,France
52,Georgia
53,Germany
54,Ghana
55,Greece
56,Guatemala
57,Guinea
58,Haiti
59,Honduras
60,Hong Kong
61,Hungary
62,India
63,Indonesia
64,Iran
65,Ireland
66,Israel
67,Italy
68,Jamaica
69,Japan
70,Jordan
71,Kazakhstan
72,Kenya
74,Kosovo
75,Kuwait
76,Latvia
77,Lebanon
78,Libya
79,Lithuania
80,Luxembourg
81,Macedonia
82,"Macedonia, The Former Yugoslav Republic of"
83,Madagascar
84,Malaysia
85,Maldives
86,Malta
87,Mauritius
88,Mexico
89,Moldova
90,Mongolia
91,Montenegro
92,Morocco
93,N/A
94,Namibia
95,Nepal
97,Netherlands
98,New Zealand
99,Nigeria
100,Nigerian
101,Norway
102,Oman
103,Pakistan
104,Palestine
105,Palestinian Territory
106,Panama
107,Papua New Guinea
108,Paraguay
109,Peru
110,Philippines
111,Poland
112,Portugal
113,Puerto Rico
114,Qatar
116,Republic of Lithuania
117,Republic of Moldova
118,Romania
120,Russian Federation
121,Saudi Arabia
122,Senegal
123,Serbia
124,Singapore
126,Slovakia
127,Slovenia
128,Somalia
129,South Africa
130,South Korea
131,Spain
132,Sri Lanka
133,Sudan
134,Swaziland
135,Sweden
136,Switzerland
137,Syrian Arab Republic
138,Taiwan
139,Tanzania
140,Thailand
141,Tunisia
142,Turkey
143,Uganda
144,Ukraine
145,United Arab Emirates
146,United Kingdom
147,United States
148,Uruguay
150,Uzbekistan
151,Venezuela
152,Vietnam
153,Zimbabwe
